allingredients,Freq,noncon,concentrated
,329,,
chocolate,184,,
milk,147,,
solids,115,,
cocoa,99,,
wheat,86,,
powder,82,,
and,73,,
oats,70,,
flour,67,,
oil,62,,
rice,61,,
minimum,59,,
seeds,56,1,
nuts,51,,1
grain,47,,
whole,46,,
choc,45,,
flavour,42,,
peanuts,42,,1
compound,41,,
sugar,41,,
almonds,36,,1
salt,36,,
white,36,,
fruit,35,1,
coconut,34,1,
apple,31,1,
puree,31,,1
pieces,30,,
chips,27,,
strawberry,27,1,
raspberry,26,1,
cheese,25,,
dark,25,,
juice,25,,1
roasted,25,,
wholegrain,25,,
yoghurt,25,,
butter,24,,
hazelnuts,24,,1
sunflower,23,1,
caramel,22,,
glucose,22,,
rolled,22,,
corn,21,,
dried,20,,1
flavoured,20,,
tobys,20,,
product,19,,
cream,18,,
soy,18,,
orange,17,1,
concentrate,16,,1
fat,16,,
liquorice,16,,
total,16,,
cashews,15,,1
sultanas,15,,1
a,14,,
cereals,14,,
extract,14,,
honey,14,,
mixed,14,,
natural,14,,
sea,14,,
syrup,14,,
organic,13,,
sesame,13,,
acid,12,,
cheddar,12,,
peanut,12,,1
juices,11,,1
mass,10,,
popcorn,10,,
popping,10,,
vanilla,10,,
apricot,9,1,
concentrated,9,,
cranberries,9,1,
lemon,9,1,
maize,9,,
min,9,,
pumpkin,9,1,
seasoning,9,,
blueberry,8,1,
centre,8,,
from,8,,
fruits,8,1,
mango,8,1,
olive,8,1,
pepper,8,1,
peppermint,8,,
potato,8,1,
rye,8,,
tomato,8,1,
vegetable,8,1,
average,7,,
cherry,7,1,
filling,7,,
fudge,7,,
ingredients,7,,
pepitas,7,1,
puffed,7,,
reconstituted,7,,
rosemary,7,1,
virgin,7,,
wholemeal,7,,
blueberries,6,1,
brown,6,,
bubbles,6,,
capsicum,6,1,
cashew,6,,1
crisps,6,,
flakes,6,,
flavours,6,,
jelly,6,,
protein,6,,
sprinkles,6,,
starch,6,,
&,5,,
1,5,,
ascorbic,5,,
berries,5,1,
black,5,,
constituents,5,,
creme,5,,
e,5,,
fibre,5,,
flavouring,5,,
honeycomb,5,,
in,5,,
jam,5,,
lecithin,5,,
marshmallow,5,,
or,5,,
peach,5,1,
pear,5,1,
salted,5,,
spread,5,,
toasted,5,,
471,4,,
492,4,,
almond,4,,1
barley,4,,
blend,4,,
bran,4,,
chia,4,1,
chives,4,1,
coating,4,,
